id,.metric,mean,std_err
Random Forest,accuracy,0.8462717149536081,0.006455867602871994
Random Forest,f_meas,0.7923180716457737,0.010092382748633819
Random Forest,precision,0.79738781798627,0.00843431747581529
Random Forest,recall,0.8013625716948867,0.013347264713644943
Random Forest,roc_auc,0.9768396155290412,0.0019185248966125158
Multinomial Regression,accuracy,0.6599726965885611,0.005684891096119978
Multinomial Regression,f_meas,0.5416937856298162,0.01043488276030655
Multinomial Regression,precision,0.5823718454723094,0.018963335263623256
Multinomial Regression,recall,0.4872675483785465,0.005531784583461454
Multinomial Regression,roc_auc,0.9054186585664764,0.0035929646165637694
K-Nearest Neighbors,accuracy,0.8267164949103335,0.0073450697991947
K-Nearest Neighbors,f_meas,0.771712814002986,0.009219556965239462
K-Nearest Neighbors,precision,0.7827813303906359,0.009293489801023215
K-Nearest Neighbors,recall,0.7613025462599237,0.01700632082567523
K-Nearest Neighbors,roc_auc,0.942676511250324,0.005109810056942021
XGBoost,accuracy,0.8314601252940079,0.007056526580800923
XGBoost,f_meas,0.7747789797546728,0.012839188112247477
XGBoost,precision,0.7885493884195165,0.013555689267930096
XGBoost,recall,0.7812064215175211,0.01368054263381143
XGBoost,roc_auc,0.9724501154182894,0.0028190583458735353
