Alloy;No;S_Phase;Phase;a (Å);δ;T_m (K);σT_m (K);ΔH_mix (kJ/mol);σH_mix (kJ/mol);S_id (R);χ;Δχ;VEC;σVEC;Bulk Modulus (GPa);σBulk (GPa);Young's modulus E (GPa);Shear modulus G (GPa);Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ne;Ni;Ns;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Ti;Tl;Tm;V;W;Y;Yb;Zn;Zr
Ag2Al;2;IM;IM;1,4407;0,004254;1134,4433;142,1096;-3,5556;0,2095;0,6365;1,8233;0,1508;8,3333;3,77124;92,0000;11,3137;80,0000;28,6667;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag5Cd8;2;IM;IM;1,5207;0,039351;840,6469;311,7081;-1,8935;0,0518;0,6663;1,7823;0,1168;11,6154;0,48650;64,3077;28,2172;63,4615;23,2308;5;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag2Ga3;2;IM;IM;1,4132;0,018373;675,7180;456,5947;-4,8000;0,0980;0,6730;1,8580;0,0588;6,2000;3,91918;40,0000;48,9898;34,0000;12,0000;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag3Ga;2;IM;IM;1,4318;0,016029;1001,9250;403,5765;-3,7500;0,5413;0,5623;1,9000;0,0520;9,0000;3,46410;75,0000;43,3013;63,7500;22,5000;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgMg3;2;IM;IM;1,5620;0,043246;1000,9825;135,0697;-7,5000;1,0825;0,5623;1,4650;0,2685;4,2500;3,89711;58,7500;23,8157;55,0000;20,2500;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgPt3;2;IM;IM;1,4015;0,017920;1839,7825;349,2118;-0,7500;0,1083;0,5623;2,1925;0,1516;10,2500;0,43301;197,5000;56,2917;147,2500;53,2500;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag3Sb;2;IM;IM;1,4863;0,048072;1152,1425;143,3922;-3,0000;0,4330;0,5623;1,9600;0,0520;9,5000;2,59808;85,5000;25,1147;77,5000;27,5000;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag7Sb;2;IM;IM;1,4656;0,037232;1193,5363;109,5176;-1,7500;0,7441;0,3768;1,9450;0,0397;10,2500;1,98431;92,7500;19,1817;81,2500;28,7500;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag3Sn;2;IM;IM;1,4888;0,050900;1052,4675;316,0343;-2,2500;0,3248;0,5623;1,9375;0,0130;9,2500;3,03109;89,5000;18,1865;76,2500;27,0000;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag4Sn;2;IM;IM;1,4800;0,047297;1088,9600;291,9400;-1,9200;0,4320;0,5004;1,9360;0,0120;9,6000;2,80000;91,6000;16,8000;78,0000;27,6000;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag5Sn;2;IM;IM;1,4742;0,044241;1113,2883;271,9990;-1,6667;0,4969;0,4506;1,9350;0,0112;9,8333;2,60875;93,0000;15,6525;79,1667;28,0000;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AgTi3;2;IM;IM;1,4578;0,005050;1764,4825;305,7373;-1,5000;0,2165;0,5623;1,6375;0,1689;5,7500;3,03109;107,5000;4,3301;108,2500;40,5000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
AgZn3;2;IM;IM;1,4075;0,015382;828,2425;234,8011;-3,0000;0,4330;0,5623;1,7200;0,1212;11,7500;0,43301;77,5000;12,9904;102,2500;39,7500;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
AgZr;2;IM;IM;1,5240;0,051837;1681,4650;446,5350;-20,0000;0,0000;0,6931;1,6300;0,3000;7,5000;3,50000;50,0000;50,0000;76,0000;31,5000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
AlB12;2;IM;IM;0,8671;0,188079;2240,1131;377,1954;0,0000;0,0000;0,2712;2,0069;0,1146;3,0000;0,00000;212,6154;39,4375;5,3846;2,0000;0;1;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlB2;2;IM;IM;1,0240;0,281738;1877,1567;667,2872;0,0000;0,0000;0,6365;1,8967;0,2027;3,0000;0,00000;174,6667;69,7679;23,3333;8,6667;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al3Ca8;2;IM;IM;1,8276;0,132563;1065,4918;80,8465;-15,8678;1,8403;0,5860;1,1664;0,2717;2,2727;0,44536;33,0909;26,2763;33,6364;12,4727;0;3;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al4Ca;2;IM;IM;1,5408;0,141225;969,7760;72,6120;-12,8000;2,8800;0,5004;1,4880;0,2440;2,8000;0,40000;64,2000;23,6000;60,0000;22,2800;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al11Ce3;2;IM;IM;1,5162;0,106356;962,2979;55,2011;-25,5918;5,0914;0,5196;1,5050;0,2011;3,0000;0,00000;64,4286;22,1576;62,2857;23,3214;0;11;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al2Ce;2;IM;IM;1,5630;0,118530;978,3133;63,4181;-33,7778;1,9904;0,6365;1,4467;0,2310;3,0000;0,00000;58,0000;25,4558;58,0000;21,8333;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlCe1;2;IM;IM;1,6285;0,120663;1000,7350;67,2650;-38,0000;0,0000;0,6931;1,3650;0,2450;3,0000;0,00000;49,0000;27,0000;52,0000;19,7500;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al13Co4;2;IM;IM;1,3894;0,055259;1129,8300;353,9930;-13,6747;2,2589;0,5456;1,6735;0,1145;4,4118;2,54510;100,4706;44,1150;102,7059;37,5294;0;13;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al5Co2;2;IM;IM;1,3803;0,059240;1171,9071;377,0022;-15,5102;1,5765;0,5983;1,6871;0,1220;4,7143;2,71052;105,7143;46,9824;109,7143;40,0000;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al9Co2;2;IM;IM;1,3991;0,049897;1085,2027;321,8737;-11,3058;2,9676;0,4741;1,6591;0,1041;4,0909;2,31417;94,9091;40,1122;95,2727;34,9091;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlCo;2;IM;IM;1,3415;0,067462;1350,7350;417,2650;-19,0000;0,0000;0,6931;1,7450;0,1350;6,0000;3,00000;128,0000;52,0000;139,5000;50,5000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al45Cr7;2;IM;IM;1,4074;0,044381;1101,2721;425,4560;-4,6598;1,8227;0,3951;1,6167;0,0171;3,4038;1,02394;87,3077;28,6702;98,1346;37,9808;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al2Cu;2;IM;IM;1,3807;0,052581;1074,9033;200,0169;-0,8889;0,0524;0,6365;1,7067;0,1367;5,6667;3,77124;97,3333;30,1699;90,0000;33,3333;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al4Cu3;2;IM;IM;1,3660;0,055791;1115,3129;209,9740;-0,9796;0,0101;0,6829;1,7343;0,1435;6,4286;3,95897;103,4286;31,6718;95,7143;35,4286;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al4Cu5;2;IM;IM;1,3464;0,056834;1169,1922;210,8364;-0,9877;0,0061;0,6870;1,7711;0,1441;7,4444;3,97523;111,5556;31,8019;103,3333;38,2222;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlEr2;2;IM;IM;1,6480;0,092679;1512,4900;409,4290;-33,7778;1,9904;0,6365;1,3633;0,1744;3,0000;0,00000;54,6667;15,0849;70,0000;27,5333;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al2Fe;2;IM;IM;1,3683;0,065801;1225,9800;413,6716;-9,7778;0,5762;0,6365;1,6833;0,1037;4,6667;2,35702;107,3333;44,3120;117,0000;44,6667;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al3In;2;IM;IM;1,4888;0,066024;807,5400;218,1172;5,2500;0,7578;0,5623;1,6525;0,0736;3,0000;0,00000;57,0000;32,9090;55,2500;19,5000;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al2La;2;IM;IM;1,5810;0,133281;1019,9800;122,3436;-33,7778;1,9904;0,6365;1,4400;0,2404;3,0000;0,00000;60,0000;22,6274;59,0000;22,1000;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlLa;2;IM;IM;1,6555;0,135005;1063,2350;129,7650;-38,0000;0,0000;0,6931;1,3550;0,2550;3,0000;0,00000;52,0000;24,0000;53,5000;20,1500;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al4Li9;2;IM;IM;1,4922;0,026909;601,2869;221,4554;-3,4083;0,2731;0,6172;1,1738;0,2908;1,6154;0,92308;31,0000;30,0000;24,9377;10,9077;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al12Mg17;2;IM;IM;1,5311;0,054364;927,3324;5,1566;-1,9405;0,0293;0,6782;1,4341;0,1478;2,4138;0,49251;57,8276;15,2679;55,3448;20,7241;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al3Mg2;2;IM;IM;1,4996;0,055210;929,2820;5,1292;-1,9200;0,0392;0,6730;1,4900;0,1470;2,6000;0,48990;63,6000;15,1868;60,0000;22,4000;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al11Mn4;2;IM;IM;1,4101;0,025715;1089,6113;258,9311;-14,8622;1,8298;0,5799;1,5940;0,0265;4,0667;1,76887;87,7333;19,4575;104,1333;19,0667;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al2Mn;2;IM;IM;1,4047;0,027519;1128,6467;276,0215;-16,8889;0,9952;0,6365;1,5900;0,0283;4,3333;1,88562;90,6667;20,7418;112,6667;17,3333;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al4Mn;2;IM;IM;1,4156;0,023170;1050,5760;234,2120;-12,1600;2,7360;0,5004;1,5980;0,0240;3,8000;1,60000;84,8000;17,6000;95,6000;20,8000;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al6Mn;2;IM;IM;1,4203;0,020203;1017,1171;204,8928;-9,3061;3,3922;0,4101;1,6014;0,0210;3,5714;1,39971;82,2857;15,3968;88,2857;22,2857;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al8Mn5;2;IM;IM;1,4005;0,028486;1158,6738;284,8628;-17,9882;0,4923;0,6663;1,5869;0,0292;4,5385;1,94602;92,9231;21,4062;119,2308;16,0000;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al9Mn11;2;IM;IM;1,3869;0,029414;1255,5115;291,2975;-18,8100;0,0945;0,6881;1,5770;0,0298;5,2000;1,98997;100,2000;21,8897;140,4000;11,7000;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlMn;2;IM;IM;1,3910;0,029475;1226,2350;292,7650;-19,0000;0,0000;0,6931;1,5800;0,0300;5,0000;2,00000;98,0000;22,0000;134,0000;13,0000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlMo;2;IM;IM;1,3975;0,024687;1914,7350;981,2650;-5,0000;0,0000;0,6931;1,8850;0,2750;4,5000;1,50000;153,0000;77,0000;199,5000;73,0000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlNd;2;IM;IM;1,5360;0,067708;1115,2350;181,7650;-38,0000;0,0000;0,6931;1,3750;0,2350;3,0000;0,00000;54,0000;22,0000;55,5000;21,1500;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlNi;2;IM;IM;1,3390;0,069455;1330,7350;397,2650;-22,0000;0,0000;0,6931;1,7600;0,1500;6,5000;3,50000;128,0000;52,0000;135,0000;51,0000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlRe2;2;IM;IM;1,3940;0,019276;2617,1567;1190,5463;-8,0000;0,4714;0,6365;1,8033;0,1367;5,6667;1,88562;272,0000;138,5929;332,0000;127,3333;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al13Ru4;2;IM;IM;1,4099;0,028281;1327,2418;709,8821;-15,1142;2,4967;0,5456;1,7488;0,2503;4,1765;2,12091;109,8824;61,0823;158,7059;60,5882;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al2Ru;2;IM;IM;1,4007;0,031636;1491,3133;788,9096;-18,6667;1,0999;0,6365;1,8067;0,2781;4,6667;2,35702;124,0000;67,8823;195,6667;75,0000;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al3Ru2;2;IM;IM;1,3944;0,033025;1602,8820;819,8589;-20,1600;0,4115;0,6730;1,8460;0,2890;5,0000;2,44949;133,6000;70,5453;220,8000;84,8000;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al17Sb3;2;IM;IM;1,4587;0,043572;929,0165;10,6015;1,0200;0,3499;0,4227;1,6760;0,1571;3,3000;0,71414;70,9000;12,1404;67,7500;25,1000;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlSb;2;IM;IM;1,5210;0,058514;918,6250;14,8450;2,0000;0,0000;0,6931;1,8300;0,2200;4,0000;1,00000;59,0000;17,0000;62,5000;23,0000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Al11Sm3;2;IM;IM;1,5130;0,102514;1021,6550;168,8614;-25,5918;5,0914;0,5196;1,5157;0,1805;3,0000;0,00000;67,8571;15,5924;65,7143;24,6071;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
