Alloy;No;S_Phase;Phase;a (Å);δ;T_m (K);σT_m (K);ΔH_mix (kJ/mol);σH_mix (kJ/mol);S_id (R);χ;Δχ;VEC;σVEC;Bulk Modulus (GPa);σBulk (GPa);Young's modulus E (GPa);Shear modulus G (GPa);Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ne;Ni;Ns;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Ti;Tl;Tm;V;W;Y;Yb;Zn;Zr
Ni61Al11Ni8Co5Cu15;5;AM;AM;1,5119;0,110637;1324,1572;200,7643;-22,5536;9,9157;1,1807;1,4043;0,3404;5,0600;3,32812;72,2800;56,4588;78,6600;29,8330;0;11;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nd60Al10Ni10Cu10Fe10;5;AM;AM;1,5037;0,115754;1361,2240;233,3574;-22,1200;8,9348;1,2275;1,4090;0,3382;5,0000;3,13050;75,8000;59,4673;85,7000;32,9800;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nd60Al10Ni10Cu16Fe4;5;AM;AM;1,5059;0,113487;1334,0302;203,9093;-25,2352;8,0104;1,1890;1,4132;0,3438;5,1800;3,37455;74,0000;56,9912;80,8400;30,9400;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nd60Al10Ni10Cu18Fe2;5;AM;AM;1,5067;0,112720;1324,9656;192,2449;-26,3568;7,4529;1,1539;1,4146;0,3456;5,2400;3,44999;73,4000;56,1288;79,2200;30,2600;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nd60Al15Ni10Cu10Fe5;5;AM;AM;1,5133;0,108610;1317,3475;227,0777;-27,3700;8,3989;1,2014;1,3980;0,3278;4,7500;3,08018;71,1000;55,4129;78,6500;30,1800;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NiCoCrMnV;5;SS+IM;FCC+IM;1,2824;0,033313;1875,6000;263,6973;-9,1200;4,3592;1,6094;1,7260;0,1429;7,4000;1,85472;160,0000;21,9089;202,8000;62,6000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
NiCoFeCrAl0.375;5;SS;FCC;1,2626;0,041171;1791,3260;314,2256;-7,9935;4,2051;1,5600;1,8020;0,1096;7,8000;2,03961;164,2286;28,1537;211,4857;81,7714;0;375;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NiCoFeCrMo0.3;5;SS;FCC;1,2549;0,023777;1943,2093;313,6082;-4,1536;1,7881;1,5426;1,8437;0,1273;8,0930;1,53735;176,5116;16,6892;232,0233;89,3023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NiCoFeCrMo0.1Al0.3;5;SS;FCC;1,2496;0,014656;1896,7317;238,1262;-3,9024;1,6945;1,4671;1,8283;0,1090;8,1951;1,50154;173,9024;12,0726;227,2927;87,8049;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ni40Cu5Ti17Zr28Al10;5;AM;AM;1,4029;0,106963;1778,2455;346,3660;-43,2540;13,7025;1,4042;1,6542;0,2471;6,6500;3,15079;105,3000;74,0710;131,9800;52,1200;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;28
